,society,price,price_per_sq.ft,bedRoom,bathroom,balcony,floorNum,facing,type,sector,Super_build_area,Carpet_area,Not available,Study Room,Servant Room,Pooja Room,Others,age,luxury_score,furnishing_type,location_score,area_ratio
70,Signature Global City 63A,2.0,12800,3,3,2,1.0,North,flat,sector 63a,1761.76,1232.0,1,0,0,0,0,,21,1,43,410.6666666666667
71,M3M Skycity,2.85,15590,3,3,3,43.0,South,flat,sector 65,1829.8279999999997,1279.6,1,0,0,0,0,,93,1,43,426.5333333333333
72,Smart World Orchard,1.65,13750,2,2,2,1.0,,flat,sector 61,1716.0,1200.0,0,1,0,0,0,relatively new,34,1,51,600.0
73,HCBS Sports Ville,0.24,7407,1,1,2,1.0,North,flat,sohna,463.32,324.0,1,0,0,0,0,New Property,63,1,0,324.0
74,Godrej Nature Plus,1.9,9849,3,3,3+,14.0,,flat,sector-33 sohna,2758.47,1929.0,0,0,1,0,0,New Property,78,1,41,643.0
75,Godrej Aria,1.1,11482,2,2,3,9.0,,flat,sector 79,958.8649069999999,670.5349,1,0,0,0,0,New Property,0,1,49,335.26745
76,Ramsons Kshitij,0.32,4500,2,2,1,8.0,,flat,sector 95,633.49,443.0,0,0,0,0,1,relatively new,18,0,0,221.5
77,Conscient One,1.7,17617,1,1,2,9.0,,flat,sector 109,898.04,628.0,1,0,0,0,0,,0,1,19,628.0
78,Pareena Laxmi Apartments,0.32,6106,2,2,2,2.0,,flat,sector 99a,606.3199999999999,424.0,1,0,0,0,0,New Property,45,1,39,212.0
81,Not Applicable,0.42,5600,2,2,1,3.0,,flat,sector 3a,1072.5,750.0,1,0,0,0,0,relatively new,18,2,34,375.0
82,Godrej Nature Plus,1.55,9955,3,2,3+,8.0,East,flat,sector-33 sohna,2226.5099999999998,1557.0,1,0,0,0,0,New Property,24,1,41,519.0
83,Smartworld 1DXP,2.75,10589,4,4,3+,20.0,East,flat,sector 113,3713.71,2597.0,0,1,1,1,0,,36,0,53,649.25
84,Ansal Housing Highland Park,1.25,6443,3,3,3+,2.0,North-East,flat,sector 103,1510.08,1056.0,0,0,0,1,0,New Property,93,1,22,352.0
85,Trisara Our Homes 3,0.34,5405,2,2,1,0.0,,flat,sohna,899.4699999999999,629.0,1,0,0,0,0,New Property,0,1,45,314.5
86,Emaar MGF Palm Hills,1.5,12744,3,3,3,4.0,North-East,flat,sector 77,1683.11,1177.0,1,0,0,0,0,relatively new,86,2,42,392.3333333333333
87,Pareena Coban Residences,1.6,8000,3,3,3,6.0,,flat,sector 99a,2002.0,1400.0,1,0,0,0,0,relatively new,0,1,55,466.6666666666667
88,La Vida by Tata Housing,1.5,11755,2,2,2,13.0,,flat,sector 113,1824.6799999999998,1276.0,1,0,0,0,0,New Property,0,1,41,638.0
89,La Vida by Tata Housing,1.5,11755,2,2,2,13.0,,flat,sector 113,1277.2759999999998,893.1999999999999,1,0,0,0,0,New Property,56,1,41,446.59999999999997
90,Ardee City,1.5,9146,4,4,3,3.0,,flat,sector 52,1641.6399999999999,1148.0,1,0,0,0,0,,59,1,32,287.0
91,M3M One Key Resiments,0.8,13115,1,1,0,0.0,,flat,sector 67,697.8399999999999,488.0,1,0,0,0,0,,0,1,34,488.0
92,Ansal Heights 86,1.25,7396,3,2,1,11.0,,flat,sector 86,1691.6899999999998,1183.0,1,0,0,0,0,New Property,54,1,27,394.3333333333333
93,MVN Athens,0.26,5397,2,2,1,2.0,,flat,sohna,687.8299999999999,481.0,1,0,0,0,0,relatively new,21,1,6,240.5
94,Signature The Serenas,0.42,7909,2,2,1,12.0,,flat,sohna,759.3299999999999,531.0,1,0,0,0,0,New Property,50,1,34,265.5
95,Sushant Lok 1 Builder Floors,2.5,12920,3,3,2,2.0,,flat,sector 43,1936.935,1354.5,1,0,0,0,0,New Property,0,1,42,451.5
96,Umang Monsoon Breeze,0.9,4615,3,3,2,1.0,,flat,sector 78,2651.22,1854.0,0,0,1,1,0,old property,60,1,16,618.0
97,GLS Avenue 51,0.42,7106,2,2,1,4.0,East,flat,sector 92,845.13,591.0,0,1,0,1,0,relatively new,25,1,9,295.5
98,Signature Global Solera,0.5,7692,2,2,1,11.0,,flat,sector 107,546.5459999999999,382.2,1,0,0,0,0,relatively new,0,1,33,191.1
99,Supertech Araville,0.9,5883,2,2,3,5.0,,flat,sector 79,2002.0,1400.0,0,1,0,0,0,relatively new,50,1,5,700.0
100,Greenopolis,1.3,6806,3,3,3+,1.0,South-West,flat,sector 89,2731.2999999999997,1910.0,0,0,1,0,0,New Property,20,1,12,636.6666666666666
101,Central Park Flower Valley Aqua Front Towers,1.7,9502,3,3,3,12.0,,flat,sector-33 sohna,1790.7889999999998,1252.3,1,0,0,0,0,Under Construction,36,1,28,417.43333333333334
102,Sare Homes,1.25,6200,4,3,0,16.0,,flat,sector 92,2333.7599999999998,1632.0,1,0,0,0,0,,28,1,5,408.0
103,micasa sec 68,1.5,12244,2,2,3,11.0,,flat,sohna road,1751.75,1225.0,1,0,0,0,0,New Property,27,1,46,612.5
104,Eldeco Accolade,1.3,7424,3,3,3+,10.0,East,flat,sohna,1844.6999999999998,1290.0,1,0,0,0,0,relatively new,28,1,18,430.0
105,Hero Homes,1.75,10361,3,3,3,2.0,,flat,sector 104,1690.6889999999999,1182.3,1,0,0,0,0,,39,1,42,394.09999999999997
106,Shyam Sadan,0.55,6470,2,2,1,4.0,West,flat,sector 5,1001.0,700.0,0,1,0,0,0,relatively new,44,2,34,350.0
107,M3M Heights,2.5,13600,3,3,3,19.0,,flat,sector 65,1829.8279999999997,1279.6,1,0,0,0,0,,0,1,52,426.5333333333333
108,hanumanta apartment,0.43,5308,2,2,1,1.0,,flat,sector 33,810.81,567.0,1,0,0,0,0,old property,4,1,14,283.5
109,Raheja Vedaanta,0.7,4666,2,2,1,10.0,West,flat,sector 108,1644.5,1150.0,1,0,0,0,0,old property,0,1,0,575.0
110,BPTP Terra,1.95,14444,4,3,3,7.0,,flat,sector 37d,1930.5,1350.0,1,0,0,0,0,,0,1,42,337.5
111,Green Court,0.45,7188,2,2,1,2.0,,flat,sector 90,895.18,626.0,1,0,0,0,0,New Property,24,2,38,313.0
112,M3M Golf Hills Phase 1,1.7,10828,3,2,3,10.0,,flat,sector 79,1571.57,1099.0,1,0,0,0,0,,0,1,5,366.3333333333333
113,Abhinav Group Housing Society,1.1,6111,3,2,3,5.0,,flat,sector 9,2574.0,1800.0,1,0,0,0,0,,27,1,36,600.0
114,Pyramid Urban Homes 2,0.5,9615,2,2,1,10.0,,flat,sector 86,743.6,520.0,1,0,0,0,0,relatively new,15,1,25,260.0
115,M3M Heights,2.8,15000,3,3,3,20.0,North-East,flat,sector 65,1829.8279999999997,1279.6,1,0,0,0,0,,87,1,52,426.5333333333333
116,Smart World Orchard,2.2,13496,3,3,2,3.0,,flat,sector 61,2330.9,1630.0,1,0,0,0,0,,31,1,59,543.3333333333334
117,Ashiana Anmol,0.9,9463,2,2,2,13.0,South,flat,sohna,1359.9299999999998,951.0,1,0,0,0,0,relatively new,99,0,40,475.5
118,Signature Signum 95A,0.4,7782,2,2,2,3.0,East,flat,sector 95a,735.02,514.0,1,0,0,0,0,New Property,27,1,0,257.0
119,Umang Winter Hills,1.35,7780,3,3,3+,7.0,,flat,sector 77,1714.57,1199.0,0,0,0,0,0,New Property,73,2,49,399.6666666666667
120,ROF Ananda,0.25,6578,1,1,1,4.0,,flat,sector 95,380.38,266.0,1,0,0,0,0,New Property,0,1,24,266.0
121,Smart World Gems,0.88,7963,2,2,3,2.0,,flat,sector 89,1580.1499999999999,1105.0,0,1,0,0,0,New Property,27,1,52,552.5
122,Assotech Blith,1.15,6593,2,2,2,2.0,,flat,sector 99,1366.3649999999998,955.4999999999999,0,0,0,0,1,New Property,62,2,43,477.74999999999994
123,Palam Vihar Society,3.35,7444,4,4,3+,2.0,,flat,sector 2,6435.0,4500.0,0,1,0,0,0,New Property,52,1,61,1125.0
124,DLF New Town Heights,1.65,6345,4,4,3+,11.0,West,flat,sector 91,2366.364,1654.8,0,0,1,0,0,old property,71,1,50,413.7
125,Krrish Florence Estate,1.25,6703,3,3,3,18.0,North-East,flat,sector 70,1866.865,1305.5,1,0,0,0,0,Under Construction,47,1,34,435.1666666666667
126,Piedmont Taksila heights,1.0,6506,3,3,3+,8.0,,flat,sector 37c,2197.91,1537.0,1,0,0,0,0,relatively new,28,2,21,512.3333333333334
127,SS The Leaf,2.15,8928,3,5,3,2.0,,flat,sector 85,2410.408,1685.6,1,0,0,0,0,New Property,0,1,42,561.8666666666667
128,M3M Urbana,1.0,12106,1,1,1,17.0,South,flat,sector 67,944.9440000000001,660.8000000000001,1,0,0,0,0,relatively new,28,1,26,660.8000000000001
129,AIPL Zen Residences,1.65,13074,2,2,3,23.0,North-West,flat,sector 70a,1263.262,883.4,1,0,0,0,0,New Property,74,1,42,441.7
130,DLF Regal Gardens,1.79,8081,4,3,3+,10.0,North-East,flat,sector 90,3167.45,2215.0,1,0,0,0,0,old property,58,1,24,553.75
131,Suncity Vatsal Valley,1.45,10139,3,3,3,4.0,,flat,sector 2,1086.8,760.0,1,0,0,0,0,Under Construction,28,1,51,253.33333333333334
132,Shree shyam residency,0.22,4731,1,1,1,2.0,East,flat,sector 21,664.9499999999999,465.0,1,0,0,0,0,relatively new,0,1,34,465.0
133,Project Krishna Colony,0.36,5142,2,2,1,0.0,,flat,sector 7,800.8,560.0,1,0,0,0,0,relatively new,0,1,24,280.0
134,MVN Athens,0.25,4258,2,2,1,0.0,,flat,sohna,671.528,469.6,1,0,0,0,0,relatively new,41,1,6,234.8
135,M3M Antalya Hills,1.15,7496,3,3,3+,1.0,,flat,sector 79,1577.29,1103.0,0,1,0,0,0,New Property,0,1,49,367.6666666666667
136,M3M Capital,2.9,12619,4,4,3+,11.0,North,flat,sector 113,3286.14,2298.0,0,1,1,0,0,New Property,28,1,51,574.5
137,Ansal Heights,0.6,4546,2,2,3,11.0,,flat,sector 92,1321.3199999999997,923.9999999999999,0,0,0,0,1,Under Construction,36,1,0,461.99999999999994
138,Malibu Towne,2.4,10000,3,3,0,0.0,West,flat,sector 47,3432.0,2400.0,1,0,0,0,0,old property,18,2,38,800.0
139,AIPL Zen Residences,1.25,9904,2,2,3,19.0,,flat,sector 70a,1804.6599999999999,1262.0,1,0,0,0,0,,0,1,26,631.0
140,M3M Heights,2.15,15003,2,2,3+,28.0,East,flat,sector 65,1639.352,1146.4,1,0,0,0,0,,0,1,52,573.2
