,society,price,bedRoom,bathroom,balcony,floorNum,type,sector,Super_build_area,Carpet_area,Not available,Study Room,Servant Room,Pooja Room,Others,age,luxury_score,furnishing_type,location_score,area_ratio
19,M3M Golfestate,6.15,3,4,2,20.0,flat,sector 65,3146.0,2200.0,1,0,0,0,0,relatively new,0,1,51,733.3333333333334
20,Central Park Resort Belgravia Residences,6.25,3,5,3+,5.0,flat,sector 48,4118.4,2880.0,0,0,1,0,0,old property,28,2,35,960.0
21,Apex builders,0.42,2,2,2,4.0,flat,sector 37c,1072.5,750.0,1,0,0,0,0,relatively new,24,1,21,375.0
22,Ompee K S Residency,1.6,2,2,2,1.0,flat,sector 110,849.42,594.0,1,0,0,0,0,relatively new,0,1,53,297.0
23,Bhawna CGHS,3.25,4,4,3+,12.0,flat,sector 43,4290.0,3000.0,0,0,0,1,0,old property,78,2,33,750.0
24,Sare Green Parc,0.85,3,2,2,20.0,flat,sector 92,1487.2,1040.0,1,0,0,0,0,relatively new,0,1,42,346.6666666666667
25,Chintels Paradiso,1.8,3,3,2,0.0,flat,sector 109,2552.55,1785.0,0,0,1,0,0,old property,60,1,25,595.0
26,Ashiana Mulberry,0.74,2,2,3+,12.0,flat,sohna,1730.3,1210.0,1,0,0,0,0,New Property,61,1,25,605.0
27,Mapsko Casa Bella,1.3,4,4,3+,1.0,flat,sector 82,1961.96,1372.0,0,0,1,0,0,relatively new,111,1,33,343.0
28,Pooja Apartment,0.25,2,2,2,2.0,flat,sector 5,1001.0,700.0,1,0,0,0,0,relatively new,0,1,43,350.0
29,Signature Global Park,0.95,3,2,3+,1.0,flat,sohna,1081.08,756.0,1,0,0,0,0,relatively new,45,1,42,252.0
30,DLF New Town Heights 1,1.99,4,4,3+,9.0,flat,sector 90,3899.61,2727.0,0,0,1,1,0,relatively new,88,2,25,681.75
31,Paras Dews,1.05,2,2,2,5.0,flat,sector 106,1980.55,1385.0,1,0,0,0,0,New Property,89,1,52,692.5
32,Godrej Air,1.83,3,3,3+,18.0,flat,sector 85,2615.47,1829.0,1,0,0,0,0,relatively new,92,1,41,609.6666666666666
33,DLF The Primus,2.25,3,3,3+,29.0,flat,sector 82a,3003.0,2100.0,0,0,1,0,0,relatively new,62,0,23,700.0
34,DLF Regency Park 1,1.6,2,2,2,3.0,flat,sector 28,1573.0,1100.0,1,0,0,0,0,relatively new,59,1,33,550.0
35,Supertech Araville,0.83,2,2,3,5.0,flat,sector 79,2187.9,1530.0,0,1,0,0,0,New Property,28,0,5,765.0
36,Maxworth City Residences,0.8,2,3,2,9.0,flat,sector 10a,1787.5,1250.0,1,0,0,0,0,New Property,40,1,14,625.0
37,Deepak Minda,1.25,4,4,3+,6.0,flat,manesar,3790.93,2651.0,1,0,0,0,0,old property,27,1,14,662.75
38,Shree Shyam residency,0.23,1,1,1,2.0,flat,sector 21,657.8,460.0,1,0,0,0,0,relatively new,7,1,34,460.0
39,Pivotal Devaan,0.3,1,1,1,14.0,flat,sector 84,643.5,450.0,1,0,0,0,0,New Property,12,2,36,450.0
40,CHD Avenue 71,0.79,2,2,2,8.0,flat,sector 71,1199.198,838.5999999999999,0,0,0,0,1,relatively new,0,1,30,419.3
41,Sare Crescent Parc Royal Greens Phase 1,0.95,4,5,3+,4.0,flat,sector 92,1898.897,1327.9,0,0,1,0,0,old property,23,1,5,331.975
42,Umang Winter Hills,0.99,2,2,2,1.0,flat,sector 77,1430.0,1000.0,1,0,0,0,0,relatively new,72,1,49,500.0
43,Ramprastha Skyz,1.1,3,3,3+,7.0,flat,sector 37d,1726.725,1207.5,1,0,0,0,0,relatively new,105,1,21,402.5
44,4S Aradhya Homes,1.9,4,4,3,3.0,flat,sector 67a,2202.2,1540.0,1,0,0,0,0,New Property,46,2,42,385.0
45,BPTP Freedom Park Life,2.5,3,3,3,9.0,flat,sector 57,2252.25,1575.0,1,0,0,0,0,old property,0,1,9,525.0
46,Godrej Habitat,1.1,2,2,2,14.0,flat,sector 3,1057.0559999999998,739.1999999999999,1,0,0,0,0,relatively new,0,1,52,369.6
47,Ramsons Kshitij,0.29,2,2,2,14.0,flat,sector 95,560.56,392.0,1,0,0,0,0,relatively new,46,1,0,196.0
48,Raheja Sampada,0.65,3,2,3,6.0,flat,sector 92,1371.37,959.0,1,0,0,0,0,relatively new,28,1,27,319.66666666666663
49,Signature The Serenas,0.5,2,2,2,6.0,flat,sohna,759.3299999999999,531.0,1,0,0,0,0,New Property,23,1,34,265.5
50,Pareena Laxmi Apartments,0.32,2,2,1,2.0,flat,sector 99a,815.0999999999999,570.0,1,0,0,0,0,New Property,44,1,39,285.0
51,Satya The Hermitage,0.93,2,3,3,3.0,flat,sector 103,2076.36,1452.0,0,0,1,0,0,relatively new,79,2,50,726.0
52,Smart World Gems,1.2,3,3,2,2.0,flat,sector 89,2034.89,1423.0,1,0,0,0,0,New Property,27,1,52,474.3333333333333
53,GLS Arawali Homes,0.3,2,2,2,4.0,flat,sohna,915.2,640.0,1,0,0,0,0,relatively new,43,1,7,320.0
54,Signature Global Park,0.56,2,2,3,3.0,flat,sohna,1175.46,822.0,1,0,0,0,0,New Property,87,1,42,411.0
55,Bestech Park View City 2,2.7,3,4,3+,6.0,flat,sector 49,2161.159,1511.3,1,0,0,0,0,old property,0,1,52,503.76666666666665
56,AFNHB Jalvayu Vihar,1.45,3,2,2,2.0,flat,sector 30,1558.7,1090.0,1,0,0,0,0,undefined,63,0,29,363.3333333333333
57,M3M Soulitude,1.25,3,3,0,4.0,flat,sector 89,1701.6999999999998,1190.0,1,0,0,0,0,New Property,0,1,32,396.6666666666667
