,society,price,bedRoom,bathroom,balcony,floorNum,type,sector,Super_build_area,Carpet_area,Not available,Study Room,Servant Room,Pooja Room,Others,age,luxury_score,furnishing_type,location_score,area_ratio
345,DLF Regal Gardens,1.78,4,4,3+,8.0,flat,sector 90,2359.5,1650.0,1,0,0,0,0,relatively new,101,1,24,412.5
346,SS The Leaf,1.12,2,2,3,10.0,flat,sector 85,1909.05,1335.0,0,0,0,0,1,relatively new,28,1,42,667.5
347,SS The Leaf,2.0,4,5,3+,1.0,flat,sector 85,2814.812,1968.4,0,0,1,0,0,relatively new,92,1,42,492.1
348,SS The Leaf,1.04,2,3,3+,4.0,flat,sector 85,1742.7409999999998,1218.6999999999998,0,0,0,0,0,relatively new,95,1,42,609.3499999999999
349,Antriksh Heights,0.88,3,3,3,8.0,flat,sector 84,2027.025,1417.5,0,0,0,1,0,relatively new,65,1,17,472.5
350,Antriksh Heights,0.49,2,2,2,16.0,flat,sector 84,1126.125,787.5,1,0,0,0,0,relatively new,64,1,17,393.75
351,Bestech Park View Grand Spa,2.35,3,4,3+,10.0,flat,sector 81,3366.22,2354.0,0,0,1,0,0,relatively new,97,1,42,784.6666666666666
352,Bestech Park View Ananda,1.4,3,3,3+,6.0,flat,sector 81,1687.4,1180.0,1,0,0,0,0,relatively new,86,1,52,393.3333333333333
353,Mapsko Royale Ville,0.97,3,4,2,16.0,flat,sector 82,1791.79,1253.0,0,0,1,0,0,relatively new,80,1,33,417.6666666666667
354,The Close North,2.35,3,3,3,8.0,flat,sector 50,2574.0,1800.0,1,0,0,0,0,old property,28,2,42,600.0
355,Swarn Jayanti CGHS,1.75,4,3,3+,3.0,flat,sector 54,2574.0,1800.0,0,0,0,0,1,relatively new,16,2,50,450.0
356,AIPL The Peaceful Homes,2.8,3,4,3,22.0,flat,sector 70a,1890.46,1322.0,0,0,1,0,0,relatively new,28,1,42,440.6666666666667
357,Signature Global Solera,0.27,2,2,2,0.0,flat,sector 107,699.27,489.0,1,0,0,0,0,relatively new,36,1,33,244.5
358,Signature Global Solera,0.28,2,2,2,6.0,flat,sector 107,699.27,489.0,1,0,0,0,0,relatively new,36,1,33,244.5
359,Parsvnath Exotica,4.8,3,4,3+,8.0,flat,sector 53,3146.0,2200.0,0,0,1,1,1,relatively new,141,2,43,733.3333333333334
360,Vatika Gurgaon 21,1.25,4,4,3,12.0,flat,sector 83,2288.0,1600.0,0,0,1,0,0,old property,86,1,42,400.0
361,Krrish Provence Estate,5.25,4,5,3+,2.0,flat,gwal pahari,5805.799999999999,4060.0,0,1,1,1,0,New Property,28,1,24,1015.0
362,Sare Green ParC Phase 3,0.75,3,2,2,3.0,flat,sector 92,1501.5,1050.0,1,0,0,0,0,New Property,95,1,26,350.0
363,DLF New Town Heights 1,1.65,4,4,3+,7.0,flat,sector 90,2729.727,1908.9,1,0,0,0,0,old property,90,1,25,477.225
364,DLF New Town Heights 1,1.25,3,3,3+,17.0,flat,sector 90,2145.0,1500.0,0,0,1,1,0,relatively new,54,1,25,500.0
365,DLF New Town Heights 1,1.42,4,4,3+,8.0,flat,sector 90,2366.364,1654.8,0,0,1,0,0,old property,41,1,25,413.7
366,DLF Regal Gardens,1.27,3,3,3+,2.0,flat,sector 90,2002.0,1400.0,0,0,0,0,1,relatively new,60,1,24,466.6666666666667
367,DLF Regal Gardens,1.65,4,4,3+,8.0,flat,sector 90,2431.0,1700.0,0,0,0,0,1,relatively new,65,1,24,425.0
368,The Close North,2.7,3,3,3+,3.0,flat,sector 50,2607.605,1823.5,0,0,1,0,0,old property,102,1,42,607.8333333333333
369,Emaar MGF Emerald Floors Premier,2.29,3,4,3+,2.0,flat,sector 65,2359.5,1650.0,0,1,1,0,0,relatively new,144,0,16,550.0
370,M3M Merlin,2.98,3,3,3,0.0,flat,sector 67,2049.047,1432.9,0,0,0,0,1,relatively new,28,2,42,477.63333333333327
371,Emaar Palm Gardens,1.35,3,3,3,7.0,flat,sector 83,1565.85,1095.0,0,0,1,0,0,relatively new,33,1,41,365.0
372,Shri Banke Bihari Society,1.37,3,3,3+,2.0,flat,sector 56,2002.0,1400.0,0,0,0,0,1,undefined,141,1,50,466.6666666666667
373,Kiran Residency,1.55,3,3,3+,5.0,flat,sector 56,2431.0,1700.0,0,0,1,1,1,undefined,132,1,50,566.6666666666666
374,Ambience Lagoon,4.25,3,4,3+,3.0,flat,sector 24,4513.08,3156.0,0,0,1,1,0,undefined,115,2,37,1052.0
375,Shapoorji Pallonji Joyville Gurugram,1.95,3,3,3,12.0,flat,sector 102,1613.04,1128.0,0,0,0,0,0,New Property,65,1,34,376.0
